"ID";"locationData_HGC";"locationData_DEWAC"
9511;"{""numFound"": 0, ""articleId"": 9511, ""locations"": []}";"{""numFound"": 0, ""articleId"": 9511, ""locations"": []}"
9514;"{""numFound"": 2, ""articleId"": 9514, ""locations"": [{""lat"": ""48.66639"", ""lon"": ""11.20056"", ""name"": ""Landkreis Neuburg-Schrobenhausen"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2866064, ""featureClass"": ""ADM3"", ""municipality"": """"}, {""lat"": ""48.76508"", ""lon"": ""11.42372"", ""name"": ""Ingolstadt"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2895992, ""featureClass"": ""PPLA3"", ""municipality"": """"}]}";"{""numFound"": 2, ""articleId"": 9514, ""locations"": [{""lat"": ""48.66639"", ""lon"": ""11.20056"", ""name"": ""Landkreis Neuburg-Schrobenhausen"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2866064, ""featureClass"": ""ADM3"", ""municipality"": """"}, {""lat"": ""48.76508"", ""lon"": ""11.42372"", ""name"": ""Ingolstadt"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2895992, ""featureClass"": ""PPLA3"", ""municipality"": """"}]}"
9543;"{""numFound"": 3, ""articleId"": 9543, ""locations"": [{""lat"": ""49.01513"", ""lon"": ""12.10161"", ""name"": ""Regensburg"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2849483, ""featureClass"": ""PPLA2"", ""municipality"": """"}, {""lat"": ""48.98737"", ""lon"": ""12.201"", ""name"": ""Neutraubling"", ""score"": 2, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2863953, ""featureClass"": ""PPL"", ""municipality"": """"}, {""lat"": ""48.98909"", ""lon"": ""12.1407"", ""name"": ""Burgweinting"", ""score"": 3, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2941057, ""featureClass"": ""PPL"", ""municipality"": """"}]}";"{""numFound"": 3, ""articleId"": 9543, ""locations"": [{""lat"": ""49.01513"", ""lon"": ""12.10161"", ""name"": ""Regensburg"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2849483, ""featureClass"": ""PPLA2"", ""municipality"": """"}, {""lat"": ""48.98737"", ""lon"": ""12.201"", ""name"": ""Neutraubling"", ""score"": 2, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2863953, ""featureClass"": ""PPL"", ""municipality"": """"}, {""lat"": ""48.98909"", ""lon"": ""12.1407"", ""name"": ""Burgweinting"", ""score"": 3, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2941057, ""featureClass"": ""PPL"", ""municipality"": """"}]}"
9544;"{""numFound"": 1, ""articleId"": 9544, ""locations"": [{""lat"": ""49.01513"", ""lon"": ""12.10161"", ""name"": ""Regensburg"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2849483, ""featureClass"": ""PPLA2"", ""municipality"": """"}]}";"{""numFound"": 1, ""articleId"": 9544, ""locations"": [{""lat"": ""49.01513"", ""lon"": ""12.10161"", ""name"": ""Regensburg"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2849483, ""featureClass"": ""PPLA2"", ""municipality"": """"}]}"
9547;"{""numFound"": 4, ""articleId"": 9547, ""locations"": [{""lat"": ""49.75"", ""lon"": ""15.0"", ""name"": ""Czech Republic"", ""score"": 1, ""state"": """", ""county"": ""CZ"", ""region"": """", ""locationId"": 3077311, ""featureClass"": ""PCLI"", ""municipality"": """"}, {""lat"": ""49.64218"", ""lon"": ""12.49523"", ""name"": ""Waidhaus"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2815317, ""featureClass"": ""PPL"", ""municipality"": """"}, {""lat"": ""49.01513"", ""lon"": ""12.10161"", ""name"": ""Regensburg"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2849483, ""featureClass"": ""PPLA2"", ""municipality"": """"}, {""lat"": ""50.00167"", ""lon"": ""12.30434"", ""name"": ""Waldsassen"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2814815, ""featureClass"": ""PPL"", ""municipality"": """"}]}";"{""numFound"": 3, ""articleId"": 9547, ""locations"": [{""lat"": ""49.75"", ""lon"": ""15.0"", ""name"": ""Czech Republic"", ""score"": 1, ""state"": """", ""county"": ""CZ"", ""region"": """", ""locationId"": 3077311, ""featureClass"": ""PCLI"", ""municipality"": """"}, {""lat"": ""49.64218"", ""lon"": ""12.49523"", ""name"": ""Waidhaus"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2815317, ""featureClass"": ""PPL"", ""municipality"": """"}, {""lat"": ""50.00167"", ""lon"": ""12.30434"", ""name"": ""Waldsassen"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2814815, ""featureClass"": ""PPL"", ""municipality"": """"}]}"
9554;"{""numFound"": 2, ""articleId"": 9554, ""locations"": [{""lat"": ""49.49417"", ""lon"": ""11.81472"", ""name"": ""Landkreis Amberg-Sulzbach"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 3220855, ""featureClass"": ""ADM3"", ""municipality"": """"}, {""lat"": ""49.44287"", ""lon"": ""11.86267"", ""name"": ""Amberg"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2956656, ""featureClass"": ""PPLA3"", ""municipality"": """"}]}";"{""numFound"": 1, ""articleId"": 9554, ""locations"": [{""lat"": ""49.49417"", ""lon"": ""11.81472"", ""name"": ""Landkreis Amberg-Sulzbach"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 3220855, ""featureClass"": ""ADM3"", ""municipality"": """"}]}"
9555;"{""numFound"": 1, ""articleId"": 9555, ""locations"": [{""lat"": ""49.64218"", ""lon"": ""12.49523"", ""name"": ""Waidhaus"", ""score"": 3, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2815317, ""featureClass"": ""PPL"", ""municipality"": """"}]}";"{""numFound"": 1, ""articleId"": 9555, ""locations"": [{""lat"": ""49.64218"", ""lon"": ""12.49523"", ""name"": ""Waidhaus"", ""score"": 3, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2815317, ""featureClass"": ""PPL"", ""municipality"": """"}]}"
9574;"{""numFound"": 2, ""articleId"": 9574, ""locations"": [{""lat"": ""50.30086"", ""lon"": ""10.93649"", ""name"": ""Landkreis Coburg"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2939950, ""featureClass"": ""ADM3"", ""municipality"": """"}, {""lat"": ""47.86333"", ""lon"": ""11.95905"", ""name"": ""Weidach"", ""score"": 2, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2813094, ""featureClass"": ""PPL"", ""municipality"": """"}]}";"{""numFound"": 1, ""articleId"": 9574, ""locations"": [{""lat"": ""47.37199"", ""lon"": ""11.16427"", ""name"": ""Weidach"", ""score"": 2, ""state"": """", ""county"": ""AT"", ""region"": """", ""locationId"": 2761764, ""featureClass"": ""PPL"", ""municipality"": """"}]}"
9581;"{""numFound"": 0, ""articleId"": 9581, ""locations"": []}";"{""numFound"": 0, ""articleId"": 9581, ""locations"": []}"
9607;"{""numFound"": 0, ""articleId"": 9607, ""locations"": []}";"{""numFound"": 1, ""articleId"": 9607, ""locations"": [{""lat"": ""21.76667"", ""lon"": ""106.98333"", ""name"": ""Sã Nghiêu"", ""score"": 1, ""state"": """", ""county"": ""VN"", ""region"": """", ""locationId"": 1568110, ""featureClass"": ""PPL"", ""municipality"": """"}]}"
9627;"{""numFound"": 1, ""articleId"": 9627, ""locations"": [{""lat"": ""48.66639"", ""lon"": ""11.20056"", ""name"": ""Landkreis Neuburg-Schrobenhausen"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2866064, ""featureClass"": ""ADM3"", ""municipality"": """"}]}";"{""numFound"": 1, ""articleId"": 9627, ""locations"": [{""lat"": ""48.66639"", ""lon"": ""11.20056"", ""name"": ""Landkreis Neuburg-Schrobenhausen"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2866064, ""featureClass"": ""ADM3"", ""municipality"": """"}]}"
9630;"{""numFound"": 1, ""articleId"": 9630, ""locations"": [{""lat"": ""48.56067"", ""lon"": ""11.26071"", ""name"": ""Schrobenhausen"", ""score"": 2, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2836084, ""featureClass"": ""PPL"", ""municipality"": """"}]}";"{""numFound"": 1, ""articleId"": 9630, ""locations"": [{""lat"": ""48.56067"", ""lon"": ""11.26071"", ""name"": ""Schrobenhausen"", ""score"": 2, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2836084, ""featureClass"": ""PPL"", ""municipality"": """"}]}"
9631;"{""numFound"": 3, ""articleId"": 9631, ""locations"": [{""lat"": ""48.58333"", ""lon"": ""11.33333"", ""name"": ""Waidhofen"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2815315, ""featureClass"": ""PPLA4"", ""municipality"": """"}, {""lat"": ""48.50654"", ""lon"": ""13.44718"", ""name"": ""Neuburg"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2866075, ""featureClass"": ""PPL"", ""municipality"": """"}, {""lat"": ""48.68333"", ""lon"": ""11.3"", ""name"": ""Karlshuld"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2892810, ""featureClass"": ""PPLA4"", ""municipality"": """"}]}";"{""numFound"": 4, ""articleId"": 9631, ""locations"": [{""lat"": ""48.58333"", ""lon"": ""11.33333"", ""name"": ""Waidhofen"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2815315, ""featureClass"": ""PPLA4"", ""municipality"": """"}, {""lat"": ""48.50654"", ""lon"": ""13.44718"", ""name"": ""Neuburg"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2866075, ""featureClass"": ""PPL"", ""municipality"": """"}, {""lat"": ""48.68333"", ""lon"": ""11.3"", ""name"": ""Karlshuld"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2892810, ""featureClass"": ""PPLA4"", ""municipality"": """"}, {""lat"": ""49.0"", ""lon"": ""11.5"", ""name"": ""Bavaria"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2951839, ""featureClass"": ""ADM1"", ""municipality"": """"}]}"
9636;"{""numFound"": 3, ""articleId"": 9636, ""locations"": [{""lat"": ""50.19399"", ""lon"": ""8.09675"", ""name"": ""Hohenstein"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2901431, ""featureClass"": ""ADM4"", ""municipality"": """"}, {""lat"": ""50.08258"", ""lon"": ""8.24932"", ""name"": ""Wiesbaden"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2809346, ""featureClass"": ""PPLA"", ""municipality"": """"}, {""lat"": ""49.0"", ""lon"": ""11.5"", ""name"": ""Bavaria"", ""score"": 2, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2951839, ""featureClass"": ""ADM1"", ""municipality"": """"}]}";"{""numFound"": 3, ""articleId"": 9636, ""locations"": [{""lat"": ""50.08258"", ""lon"": ""8.24932"", ""name"": ""Wiesbaden"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2809346, ""featureClass"": ""PPLA"", ""municipality"": """"}, {""lat"": ""50.25"", ""lon"": ""8.25"", ""name"": ""Taunus"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2823801, ""featureClass"": ""MTS"", ""municipality"": """"}, {""lat"": ""49.0"", ""lon"": ""11.5"", ""name"": ""Bavaria"", ""score"": 2, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2951839, ""featureClass"": ""ADM1"", ""municipality"": """"}]}"
